target_pref_name,target_chembl_id,accession,TDL
ATPase family AAA domain-containing protein 2B,CHEMBL2176775,Q9ULI0,Tchem
Acetyl-CoA carboxylase 1,CHEMBL3351,Q13085,Tchem
Acetyl-CoA carboxylase 2,CHEMBL4829,O00763,Tchem
Acetyl-coenzyme A transporter 1,CHEMBL3638338,O00400,Tchem
Acetylcholine receptor protein alpha chain,CHEMBL4808,P02708,Tclin
Acetylcholinesterase,CHEMBL220,P22303,Tclin
Acid ceramidase,CHEMBL5463,Q13510,Tchem
Acidic mammalian chitinase,CHEMBL1293197,Q9BZP6,Tchem
Acrosin,CHEMBL2738,P10323,Tchem
Activin receptor type-1,CHEMBL5903,Q04771,Tchem
Activin receptor type-1B,CHEMBL5310,P36896,Tchem
Activin receptor type-2A,CHEMBL5616,P27037,Tchem
Activin receptor type-2B,CHEMBL5466,Q13705,Tchem
Acyl coenzyme A:cholesterol acyltransferase,CHEMBL2265,P23141,Tchem
Acyl coenzyme A:cholesterol acyltransferase 1,CHEMBL2782,P35610,Tchem
Acyl coenzyme A:cholesterol acyltransferase 2,CHEMBL4465,O75908,Tchem
Acyl-CoA desaturase,CHEMBL5555,O00767,Tchem
Acyl-protein thioesterase 1,CHEMBL1681631,O75608,Tchem
Acyl-protein thioesterase 2,CHEMBL1932891,O95372,Tchem
Adaptor-associated kinase,CHEMBL3830,Q2M2I8,Tchem
Adenosine A1 receptor,CHEMBL226,P30542,Tclin
Adenosine A2a receptor,CHEMBL251,P29274,Tclin
Adenosine A2b receptor,CHEMBL255,P29275,Tclin
Adenosine A3 receptor,CHEMBL256,P0DMS8,Tchem
Adenosine deaminase,CHEMBL1910,P00813,Tclin
Adenosine kinase,CHEMBL3589,P55263,Tchem
Adenosylhomocysteinase,CHEMBL2664,P23526,Tchem
Adenosylhomocysteinase 2,CHEMBL3751646,O43865,Tchem
Adenylate cyclase type 10,CHEMBL5854,Q96PN6,Tchem
Adiponectin receptor protein 1,CHEMBL3392946,Q96A54,Tbio
Adiponectin receptor protein 2,CHEMBL3392947,Q86V24,Tbio
Advanced glycosylation end product-specific receptor,CHEMBL2176846,Q15109,Tchem
Alcohol dehydrogenase class III,CHEMBL4116,P11766,Tchem
Aldehyde dehydrogenase,CHEMBL1935,P05091,Tclin
Aldehyde dehydrogenase 1A1,CHEMBL3577,P00352,Tchem
Aldehyde dehydrogenase dimeric NADP-preferring,CHEMBL3578,P30838,Tchem
Aldehyde oxidase,CHEMBL3257,Q06278,Tbio
Aldehyde reductase,CHEMBL2246,P14550,Tchem
Aldo-keto reductase family 1 member B10,CHEMBL5983,O60218,Tchem
Aldo-keto reductase family 1 member C1,CHEMBL5905,Q04828,Tchem
Aldo-keto reductase family 1 member C2,CHEMBL5847,P52895,Tchem
Aldo-keto reductase family 1 member C4,CHEMBL4999,P17516,Tbio
Aldo-keto-reductase family 1 member C3,CHEMBL4681,P42330,Tchem
Aldose reductase,CHEMBL1900,P15121,Tclin
Alkaline ceramidase 2,CHEMBL2331067,Q5QJU3,Tchem
Alkaline phosphatase placental-like,CHEMBL3402,P10696,Tchem
"Alkaline phosphatase, tissue-nonspecific isozyme",CHEMBL5979,P05186,Tchem
Alpha enolase,CHEMBL3298,P06733,Tchem
"Alpha-(1,3)-fucosyltransferase 7",CHEMBL3596077,Q11130,Tchem
"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",CHEMBL2375207,P26572,Tchem
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",CHEMBL2321630,Q10469,Tchem
Alpha-1a adrenergic receptor,CHEMBL229,P35348,Tclin
Alpha-1b adrenergic receptor,CHEMBL232,P35368,Tclin
Alpha-1d adrenergic receptor,CHEMBL223,P25100,Tclin
Alpha-2a adrenergic receptor,CHEMBL1867,P08913,Tclin
Alpha-2b adrenergic receptor,CHEMBL1942,P18089,Tclin
Alpha-2c adrenergic receptor,CHEMBL1916,P18825,Tclin
Alpha-L-fucosidase I,CHEMBL4176,P04066,Tchem
Alpha-crystallin B chain,CHEMBL3621022,P02511,Tbio
Alpha-galactosidase A,CHEMBL2524,P06280,Tclin
Alpha-ketoglutarate-dependent dioxygenase FTO,CHEMBL2331065,Q9C0B1,Tbio
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3112376,Q96Q83,Tchem
Alpha-mannosidase 2A1,CHEMBL4056,Q16706,Tbio
Alpha-synuclein,CHEMBL6152,P37840,Tchem
"Amiloride-sensitive cation channel 2, neuronal",CHEMBL1628477,P78348,Tchem
Amiloride-sensitive cation channel 3,CHEMBL5368,Q9UHC3,Tchem
"Amine oxidase, copper containing",CHEMBL3437,Q16853,Tchem
Aminopeptidase B,CHEMBL2432,Q9H4A4,Tchem
Aminopeptidase N,CHEMBL1907,P15144,Tchem
Anandamide amidohydrolase,CHEMBL2243,O00519,Tchem
Androgen Receptor,CHEMBL1871,P10275,Tclin
Angiotensin II type 2 (AT-2) receptor,CHEMBL4607,P50052,Tchem
Angiotensin-converting enzyme,CHEMBL1808,P12821,Tclin
Angiotensin-converting enzyme 2,CHEMBL3736,Q9BYF1,Tchem
Ankyrin repeat and protein kinase domain-containing protein 1,CHEMBL5547,Q8NFD2,Tbio
Anoctamin-1,CHEMBL2046267,Q5XXA6,Tclin
Apelin receptor,CHEMBL1628481,P35414,Tchem
Apoptosis regulator BAX,CHEMBL5318,Q07812,Tchem
Apoptosis regulator Bcl-2,CHEMBL4860,P10415,Tclin
Apoptosis regulator Bcl-W,CHEMBL4677,Q92843,Tchem
Apoptosis regulator Bcl-X,CHEMBL4625,Q07817,Tchem
Appetite-regulating hormone,CHEMBL1921664,Q9UBU3,Tchem
Arachidonate 12-lipoxygenase,CHEMBL3687,P18054,Tchem
Arachidonate 15-lipoxygenase,CHEMBL2903,P16050,Tchem
"Arachidonate 15-lipoxygenase, type II",CHEMBL2457,O15296,Tchem
Arachidonate 5-lipoxygenase,CHEMBL215,P09917,Tclin
Arginase-1,CHEMBL1075097,P05089,Tchem
Aryl hydrocarbon receptor,CHEMBL3201,P35869,Tchem
Arylacetamide deacetylase,CHEMBL3509584,P22760,Tbio
Arylamine N-acetyltransferase 1,CHEMBL5101,P18440,Tchem
Asparagine synthetase,CHEMBL3120,P08243,Tchem
Autotaxin,CHEMBL3691,Q13822,Tchem
Axin-2,CHEMBL1255167,Q9Y2T1,Tchem
BMP-2-inducible protein kinase,CHEMBL4522,Q9NSY1,Tchem
BR serine/threonine-protein kinase 1,CHEMBL5650,Q8TDC3,Tchem
BR serine/threonine-protein kinase 2,CHEMBL4574,Q8IWQ3,Tchem
Baculoviral IAP repeat-containing protein 2,CHEMBL5462,Q13490,Tchem
Baculoviral IAP repeat-containing protein 3,CHEMBL5335,Q13489,Tchem
Baculoviral IAP repeat-containing protein 5,CHEMBL5989,O15392,Tchem
Baculoviral IAP repeat-containing protein 8,CHEMBL5851,Q96P09,Tchem
Basic fibroblast growth factor,CHEMBL3107,P09038,Tchem
Bcl-2-like protein 10,CHEMBL5988,Q9HD36,Tchem
Bcl-2-related protein A1,CHEMBL6044,Q16548,Tchem
Bcl2-antagonist of cell death (BAD),CHEMBL3817,Q92934,Tchem
Beta amyloid A4 protein,CHEMBL2487,P05067,Tchem
Beta secretase 2,CHEMBL2525,Q9Y5Z0,Tchem
Beta-1 adrenergic receptor,CHEMBL213,P08588,Tclin
"Beta-1,4-galactosyltransferase 1",CHEMBL4384,P15291,Tbio
"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",CHEMBL2375206,Q09327,Tchem
Beta-2 adrenergic receptor,CHEMBL210,P07550,Tclin
Beta-3 adrenergic receptor,CHEMBL246,P13945,Tclin
Beta-chymotrypsin,CHEMBL4796,P17538,Tchem
Beta-galactosidase,CHEMBL2522,P16278,Tchem
"Beta-galactoside alpha-2,6-sialyltransferase 1",CHEMBL3596075,P15907,Tchem
Beta-glucocerebrosidase,CHEMBL2179,P04062,Tchem
Beta-glucosidase,CHEMBL3761,Q9HCG7,Tchem
Beta-glucosidase cytosolic,CHEMBL3865,Q9H227,Tbio
Beta-glucuronidase,CHEMBL2728,P08236,Tchem
Beta-hexosaminidase subunit alpha,CHEMBL1250415,P06865,Tchem
Beta-hexosaminidase subunit beta,CHEMBL5877,P07686,Tchem
Beta-secretase 1,CHEMBL4822,P56817,Tchem
Betaine transporter,CHEMBL3715,P48065,Tchem
Betaine--homocysteine S-methyltransferase 1,CHEMBL4328,Q93088,Tchem
"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",CHEMBL3621036,P13995,Tchem
Bifunctional protein NCOAT,CHEMBL5921,O60502,Tchem
Bile acid receptor FXR,CHEMBL2047,Q96RI1,Tclin
Bile acid transporter,CHEMBL5287,Q14973,Tchem
Bile salt export pump,CHEMBL6020,O95342,Tchem
Biotin--protein ligase,CHEMBL2062354,P50747,Tchem
Bloom syndrome protein,CHEMBL1293237,P54132,Tchem
Bombesin receptor subtype-3,CHEMBL4080,P32247,Tchem
Bone morphogenetic protein 1,CHEMBL3898,P13497,Tchem
Bone morphogenetic protein receptor type-1A,CHEMBL5275,P36894,Tchem
Bone morphogenetic protein receptor type-1B,CHEMBL5476,O00238,Tchem
Bone morphogenetic protein receptor type-2,CHEMBL5467,Q13873,Tchem
Bradykinin B1 receptor,CHEMBL4308,P46663,Tchem
Bradykinin B2 receptor,CHEMBL3157,P30411,Tclin
"Branched-chain-amino-acid aminotransferase, mitochondrial",CHEMBL3616354,O15382,Tchem
Branched-chain-amino-acid transferase,CHEMBL4679,P54687,Tchem
Breakpoint cluster region protein,CHEMBL5146,P11274,Tclin
Breast cancer type 1 susceptibility protein,CHEMBL5990,P38398,Tchem
Bromodomain adjacent to zinc finger domain protein 2A,CHEMBL3108642,Q9UIF9,Tchem
Bromodomain adjacent to zinc finger domain protein 2B,CHEMBL1741220,Q9UIF8,Tchem
Bromodomain and PHD finger-containing protein 3,CHEMBL3108644,Q9ULD4,Tchem
Bromodomain and WD repeat-containing protein 1,CHEMBL3351192,Q9NSI6,Tbio
Bromodomain testis-specific protein,CHEMBL1795185,Q58F21,Tchem
Bromodomain-containing protein 1,CHEMBL2176774,O95696,Tchem
Bromodomain-containing protein 2,CHEMBL1293289,P25440,Tchem
Bromodomain-containing protein 3,CHEMBL1795186,Q15059,Tchem
Bromodomain-containing protein 4,CHEMBL1163125,O60885,Tchem
Bromodomain-containing protein 7,CHEMBL3085622,Q9NPI1,Tchem
Bromodomain-containing protein 8,CHEMBL3588731,Q9H0E9,Tbio
Bromodomain-containing protein 9,CHEMBL3108640,Q9H8M2,Tchem
Butyrylcholinesterase,CHEMBL1914,P06276,Tclin
C-C chemokine receptor type 1,CHEMBL2413,P32246,Tchem
C-C chemokine receptor type 2,CHEMBL4015,P41597,Tchem
C-C chemokine receptor type 3,CHEMBL3473,P51677,Tchem
C-C chemokine receptor type 4,CHEMBL2414,P51679,Tclin
C-C chemokine receptor type 5,CHEMBL274,P51681,Tclin
C-C chemokine receptor type 6,CHEMBL4423,P51684,Tchem
C-C chemokine receptor type 8,CHEMBL4596,P51685,Tchem
C-C chemokine receptor type 9,CHEMBL5815,P51686,Tchem
C-C motif chemokine 2,CHEMBL1649052,P13500,Tchem
C-X-C chemokine receptor type 3,CHEMBL4441,P49682,Tchem
C-X-C chemokine receptor type 4,CHEMBL2107,P61073,Tclin
C-X-C chemokine receptor type 7,CHEMBL2010631,P25106,Tchem
C-X3-C chemokine receptor 1,CHEMBL4843,P49238,Tchem
C-terminal-binding protein 2,CHEMBL3797016,P56545,Tchem
C3a anaphylatoxin chemotactic receptor,CHEMBL4761,Q16581,Tchem
C5a anaphylatoxin chemotactic receptor,CHEMBL2373,P21730,Tchem
CCR4-NOT transcription complex subunit 7,CHEMBL3616361,Q9UIV1,Tchem
CD209 antigen,CHEMBL1795114,Q9NNX6,Tbio
CD22,CHEMBL3218,P20273,Tclin
CD44 antigen,CHEMBL3232692,P16070,Tbio
CD81 antigen,CHEMBL1075180,P60033,Tchem
CDC45-related protein,CHEMBL3040,O75419,Tbio
CDGSH iron-sulfur domain-containing protein 1,CHEMBL1795168,Q9NZ45,Tchem
CDK-interacting protein 1,CHEMBL5021,P38936,Tbio
"CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase",CHEMBL3596076,Q11203,Tbio
"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",CHEMBL3596074,Q11201,Tchem
CREB-binding protein,CHEMBL5747,Q92793,Tchem
CaM kinase I alpha,CHEMBL2493,Q14012,Tchem
CaM kinase I delta,CHEMBL5073,Q8IU85,Tchem
CaM kinase I gamma,CHEMBL5258,Q96NX5,Tchem
CaM kinase II alpha,CHEMBL4147,Q9UQM7,Tchem
CaM kinase II beta,CHEMBL4121,Q13554,Tchem
CaM kinase II delta,CHEMBL2801,Q13557,Tchem
CaM kinase II gamma,CHEMBL3829,Q13555,Tchem
CaM kinase IV,CHEMBL2494,Q16566,Tbio
CaM-kinase kinase alpha,CHEMBL5256,Q8N5S9,Tchem
CaM-kinase kinase beta,CHEMBL5284,Q96RR4,Tchem
Calcitonin gene-related peptide 1,CHEMBL5293,P06881,Tchem
Calcitonin gene-related peptide type 1 receptor,CHEMBL3798,Q16602,Tchem
Calcitonin receptor,CHEMBL1832,P30988,Tclin
Calcium release-activated calcium channel protein 1,CHEMBL2384891,Q96D31,Tchem
Calcium sensing receptor,CHEMBL1878,P41180,Tclin
Calcium-activated potassium channel subunit alpha-1,CHEMBL4304,Q12791,Tclin
Calmodulin,CHEMBL6093,P0DP23,Tclin
Calpain 1,CHEMBL3891,P07384,Tchem
Calpain 2,CHEMBL2382,P17655,Tchem
Canalicular multispecific organic anion transporter 1,CHEMBL5748,Q92887,Tchem
Cannabinoid CB1 receptor,CHEMBL218,P21554,Tclin
Cannabinoid CB2 receptor,CHEMBL253,P34972,Tchem
Carbonic anhydrase I,CHEMBL261,P00915,Tclin
Carbonic anhydrase II,CHEMBL205,P00918,Tclin
Carbonic anhydrase III,CHEMBL2885,P07451,Tclin
Carbonic anhydrase IV,CHEMBL3729,P22748,Tclin
Carbonic anhydrase IX,CHEMBL3594,Q16790,Tclin
Carbonic anhydrase VA,CHEMBL4789,P35218,Tclin
Carbonic anhydrase VB,CHEMBL3969,Q9Y2D0,Tclin
Carbonic anhydrase VI,CHEMBL3025,P23280,Tclin
Carbonic anhydrase VII,CHEMBL2326,P43166,Tclin
Carbonic anhydrase XII,CHEMBL3242,O43570,Tclin
Carbonic anhydrase XIII,CHEMBL3912,Q8N1Q1,Tclin
Carbonic anhydrase XIV,CHEMBL3510,Q9ULX7,Tclin
Carbonyl reductase [NADPH] 1,CHEMBL5586,P16152,Tchem
Carboxylesterase 2,CHEMBL3180,O00748,Tchem
Carboxypeptidase A1,CHEMBL2088,P15085,Tchem
Carboxypeptidase B,CHEMBL2552,P15086,Tchem
Carboxypeptidase B2 isoform A,CHEMBL3419,Q96IY4,Tchem
Carboxypeptidase M,CHEMBL3038,P14384,Tchem
"Carboxypeptidase N, catalytic subunit",CHEMBL4713,P15169,Tchem
"Carnitine O-palmitoyltransferase 1, liver isoform",CHEMBL1293194,P50416,Tchem
"Carnitine O-palmitoyltransferase 1, muscle isoform",CHEMBL2216739,Q92523,Tchem
Carnitine palmitoyltransferase 2,CHEMBL3238,P23786,Tchem
Casein kinase I alpha,CHEMBL2793,P48729,Tchem
Casein kinase I delta,CHEMBL2828,P48730,Tchem
Casein kinase I epsilon,CHEMBL4937,P49674,Tchem
Casein kinase I gamma 1,CHEMBL2426,Q9HCP0,Tchem
Casein kinase I gamma 2,CHEMBL2543,P78368,Tchem
Casein kinase I isoform alpha-like,CHEMBL5520,Q8N752,Tdark
Casein kinase I isoform gamma-3,CHEMBL5084,Q9Y6M4,Tbio
Casein kinase II alpha,CHEMBL3629,P68400,Tchem
Casein kinase II alpha (prime),CHEMBL4070,P19784,Tchem
Caspase-1,CHEMBL4801,P29466,Tchem
Caspase-10,CHEMBL5037,Q92851,Tchem
Caspase-14,CHEMBL5991,P31944,Tchem
Caspase-2,CHEMBL4884,P42575,Tchem
Caspase-3,CHEMBL2334,P42574,Tchem
Caspase-4,CHEMBL2226,P49662,Tchem
Caspase-5,CHEMBL3131,P51878,Tchem
Caspase-6,CHEMBL3308,P55212,Tchem
Caspase-7,CHEMBL3468,P55210,Tchem
Caspase-8,CHEMBL3776,Q14790,Tchem
Caspase-9,CHEMBL2273,P55211,Tchem
Cat eye syndrome critical region protein 2,CHEMBL3108639,Q9BXF3,Tchem
Catechol O-methyltransferase,CHEMBL2023,P21964,Tclin
Catenin beta-1,CHEMBL5866,P35222,Tchem
Cathepsin B,CHEMBL4072,P07858,Tchem
Cathepsin D,CHEMBL2581,P07339,Tchem
Cathepsin E,CHEMBL3092,P14091,Tchem
Cathepsin F,CHEMBL2517,Q9UBX1,Tchem
Cathepsin G,CHEMBL4071,P08311,Tchem
Cathepsin H,CHEMBL2225,P09668,Tchem
Cathepsin K,CHEMBL268,P43235,Tchem
Cathepsin L,CHEMBL3837,P07711,Tchem
Cathepsin L2,CHEMBL3272,O60911,Tchem
Cathepsin S,CHEMBL2954,P25774,Tchem
Cathepsin Z,CHEMBL4160,Q9UBR2,Tchem
Cell cycle checkpoint protein RAD1,CHEMBL3309116,O60671,Tchem
Cell division cycle 2-like protein kinase 6,CHEMBL6002,Q9BWU1,Tchem
Cell division cycle 7-related protein kinase,CHEMBL5443,O00311,Tchem
Cell division protein kinase 8,CHEMBL5719,P49336,Tchem
Cellular tumor antigen p53,CHEMBL4096,P04637,Tchem
Centromere-associated protein E,CHEMBL5870,Q02224,Tchem
Ceramide glucosyltransferase,CHEMBL2063,Q16739,Tclin
"Chaperone activity of bc1 complex-like, mitochondrial",CHEMBL5550,Q8NI60,Tbio
Cholecystokinin A receptor,CHEMBL1901,P32238,Tclin
Cholecystokinin B receptor,CHEMBL298,P32239,Tclin
Cholesteryl ester transfer protein,CHEMBL3572,P11597,Tchem
Choline kinase alpha,CHEMBL3117,P35790,Tchem
Chondroitin sulfate N-acetylgalactosaminyltransferase 1,CHEMBL2040705,Q8TDX6,Tbio
Chromobox protein homolog 1,CHEMBL1741193,P83916,Tbio
Chromobox protein homolog 7,CHEMBL1764946,O95931,Tchem
Chromobox protein homolog 8,CHEMBL3232684,Q9HC52,Tchem
Chymase,CHEMBL4068,P23946,Tchem
Citron Rho-interacting kinase,CHEMBL5579,O14578,Tchem
Clathrin heavy chain 1,CHEMBL3108634,Q00610,Tbio
Coagulation factor III,CHEMBL4081,P13726,Tchem
Coagulation factor IX,CHEMBL2016,P00740,Tchem
Coagulation factor V,CHEMBL3618,P12259,Tbio
Coagulation factor VII,CHEMBL3991,P08709,Tchem
Coagulation factor VIII,CHEMBL3143,P00451,Tbio
Coagulation factor X,CHEMBL244,P00742,Tclin
Coagulation factor XI,CHEMBL2820,P03951,Tchem
Coagulation factor XII,CHEMBL2821,P00748,Tchem
Coagulation factor XIII,CHEMBL4530,P00488,Tchem
Collagen type IV alpha-3-binding protein,CHEMBL3399913,Q9Y5P4,Tbio
Complement C1s,CHEMBL3913,P09871,Tchem
Complement factor B,CHEMBL5731,P00751,Tchem
Complement factor D,CHEMBL2176771,P00746,Tchem
Core-binding factor subunit beta,CHEMBL1615386,Q13951,Tchem
Corticotropin releasing factor receptor 1,CHEMBL1800,P34998,Tclin
Cyclin T1,CHEMBL2108,O60563,Tchem
Cyclin-dependent kinase 1,CHEMBL308,P06493,Tchem
Cyclin-dependent kinase 13,CHEMBL1795192,Q14004,Tchem
Cyclin-dependent kinase 2,CHEMBL301,P24941,Tchem
Cyclin-dependent kinase 3,CHEMBL4442,Q00526,Tchem
Cyclin-dependent kinase 4,CHEMBL331,P11802,Tclin
Cyclin-dependent kinase 5,CHEMBL4036,Q00535,Tchem
Cyclin-dependent kinase 6,CHEMBL2508,Q00534,Tclin
Cyclin-dependent kinase 7,CHEMBL3055,P50613,Tchem
Cyclin-dependent kinase 9,CHEMBL3116,P50750,Tchem
Cyclin-dependent kinase-like 1,CHEMBL5789,Q00532,Tchem
Cyclin-dependent kinase-like 2,CHEMBL5728,Q92772,Tchem
Cyclin-dependent kinase-like 3,CHEMBL1163117,Q8IVW4,Tchem
Cyclin-dependent kinase-like 5,CHEMBL1163112,O76039,Tchem
Cyclooxygenase-1,CHEMBL221,P23219,Tclin
Cyclooxygenase-2,CHEMBL230,P35354,Tclin
Cyclophilin A,CHEMBL1949,P62937,Tclin
Cyclophilin B,CHEMBL2075,P23284,Tchem
Cystathionine beta-synthase,CHEMBL3399911,P35520,Tchem
Cysteinyl leukotriene receptor 1,CHEMBL1798,Q9Y271,Tclin
Cysteinyl leukotriene receptor 2,CHEMBL4330,Q9NS75,Tchem
Cystic fibrosis transmembrane conductance regulator,CHEMBL4051,P13569,Tclin
Cystine/glutamate transporter,CHEMBL1075149,Q9UPY5,Tchem
Cystinyl aminopeptidase,CHEMBL2693,Q9UIQ6,Tchem
Cytidine deaminase,CHEMBL4502,P32320,Tchem
Cytochrome P450 11B1,CHEMBL1908,P15538,Tclin
Cytochrome P450 11B2,CHEMBL2722,P19099,Tchem
Cytochrome P450 17A1,CHEMBL3522,P05093,Tclin
Cytochrome P450 19A1,CHEMBL1978,P11511,Tclin
Cytochrome P450 1A1,CHEMBL2231,P04798,Tchem
Cytochrome P450 1A2,CHEMBL3356,P05177,Tchem
Cytochrome P450 1B1,CHEMBL4878,Q16678,Tchem
Cytochrome P450 21,CHEMBL2759,P08686,Tbio
Cytochrome P450 24A1,CHEMBL4521,Q07973,Tchem
Cytochrome P450 26A1,CHEMBL5141,O43174,Tchem
Cytochrome P450 26B1,CHEMBL3713687,Q9NR63,Tchem
Cytochrome P450 2A13,CHEMBL3542436,Q16696,Tbio
Cytochrome P450 2A6,CHEMBL5282,P11509,Tchem
Cytochrome P450 2B6,CHEMBL4729,P20813,Tchem
Cytochrome P450 2C19,CHEMBL3622,P33261,Tchem
Cytochrome P450 2C8,CHEMBL3721,P10632,Tchem
Cytochrome P450 2C9,CHEMBL3397,P11712,Tchem
Cytochrome P450 2D6,CHEMBL289,P10635,Tclin
Cytochrome P450 2E1,CHEMBL5281,P05181,Tchem
Cytochrome P450 2J2,CHEMBL3491,P51589,Tchem
Cytochrome P450 3A4,CHEMBL340,P08684,Tclin
Cytochrome P450 3A5,CHEMBL3019,P20815,Tclin
Cytochrome P450 3A7,CHEMBL3341582,P24462,Tclin
Cytochrome P450 4F2,CHEMBL3379,P78329,Tchem
Cytochrome P450 51,CHEMBL3849,Q16850,Tchem
Cytochrome b-245 heavy chain,CHEMBL1287627,P04839,Tchem
Cytochrome b-c1 complex subunit 7,CHEMBL1671612,P14927,Tbio
Cytochrome c oxidase subunit 2,CHEMBL6174,P00403,Tchem
Cytohesin-2,CHEMBL5995,Q99418,Tbio
Cytohesin-3,CHEMBL3259466,O43739,Tbio
Cytosolic phospholipase A2,CHEMBL3816,P47712,Tchem
D-amino-acid oxidase,CHEMBL5485,P14920,Tchem
D-aspartate oxidase,CHEMBL5887,Q99489,Tchem
DNA (cytosine-5)-methyltransferase 1,CHEMBL1993,P26358,Tclin
DNA (cytosine-5)-methyltransferase 3A,CHEMBL1992,Q9Y6K1,Tclin
DNA (cytosine-5)-methyltransferase 3B,CHEMBL6095,Q9UBC3,Tchem
DNA dC->dU-editing enzyme APOBEC-3G,CHEMBL1741217,Q9HC16,Tbio
DNA damage-inducible transcript 3 protein,CHEMBL3351207,P35638,Tchem
DNA ligase 1,CHEMBL5694,P18858,Tchem
DNA polymerase alpha subunit,CHEMBL1828,P09884,Tclin
DNA polymerase beta,CHEMBL2392,P06746,Tchem
DNA polymerase delta subunit 1,CHEMBL2735,P28340,Tclin
DNA polymerase eta,CHEMBL5542,Q9Y253,Tbio
DNA polymerase gamma subunit 1,CHEMBL2732,P54098,Tchem
DNA polymerase kappa,CHEMBL5365,Q9UBT6,Tbio
DNA polymerase lambda,CHEMBL5367,Q9UGP5,Tbio
DNA polymerase nu,CHEMBL2010628,Q7Z5Q5,Tbio
